Player Name,Team,Wickets,Matches,Innings,Overs,Runs,BBI,SR,4W,5W,
Deepak Chahar,MI,11,14,14,41,376,2/12,22.4,0,0,
Jofra Archer,RR,11,12,12,45.3,431,25/3,24.8,0,0,
Maheesh Theekshana,RR,11,11,11,42,410,26/2,22.9,0,0,
Ashwani Kumar,MI,11,7,7,20.3,232,24/4,11.2,1,0,
Mitchell Santner,MI,10,13,13,39.3,313,3/11,23.7,0,0,
Ravindra Jadeja,CSK,10,14,14,37.5,324,17/2,22.7,0,0,
Harpreet Brar,PBKS,10,8,7,22,190,22/3,13.2,0,0,
Rashid Khan,GT,9,15,15,55,514,25/2,36.7,0,0,
Sandeep Sharma,RR,9,10,10,36.3,361,21/2,24.3,0,0,
Tushar Deshpande,RR,9,10,10,32,340,44/3,21.3,0,0,
Ravi Bishnoi,LSG,9,11,11,37,401,18/2,24.7,0,0,
Anshul Kamboj,CSK,8,8,8,21.3,172,13/3,16.1,0,0,
Suyash Sharma,RCB,8,14,14,50,442,17/3,37.5,0,0,
Azmatullah Omarzai,PBKS,8,9,8,27,279,33/2,20.3,0,0,
Andre Russell,KKR,8,13,9,18.1,217,21/2,13.6,0,0,
Karn Sharma,MI,7,6,5,15,128,23/3,12.9,0,0,
Ravichandran Ashwin,CSK,7,9,9,31,283,41/2,26.6,0,0,
Moeen Ali,KKR,6,6,5,16,136,23/2,16.0,0,0,
Will Jacks,MI,6,13,8,14,120,14/2,14.0,0,0,
Vignesh Puthur,MI,6,5,5,12,109,32/3,12.0,0,0,
Zeeshan Ansari,SRH,6,10,10,33.5,333,42/3,33.8,0,0,
Mohd Arshad Khan,GT,6,9,9,21,217,1/7,21.0,0,0,
Romario Shepherd,RCB,6,8,7,14,151,14/2,14.0,0,0,
Mohammad Shami,SRH,6,9,9,30,337,28/2,30.0,0,0,
William O Rourke,LSG,6,3,3,10.2,132,27/3,10.3,0,0,
Axar Patel,DC,5,12,11,34,288,19/2,40.8,0,0,
Lockie Ferguson,PBKS,5,4,4,11.2,104,37/2,13.6,0,0,
Harsh Dubey,SRH,5,3,3,10,98,34/3,12.0,0,0,
Kyle Jamieson,PBKS,5,4,4,15,147,48/3,18.0,0,0,
Mustafizur Rahman,DC,4,3,3,11,87,33/3,16.5,0,0,
Glenn Maxwell,PBKS,4,7,6,13,110,1/5,19.5,0,0,
Akash Singh,LSG,4,3,3,11.1,99,30/2,16.8,0,0,
Aiden Markram,LSG,4,13,5,11,102,30/2,16.5,0,0,
Lungisani Ngidi,RCB,4,2,2,8,81,30/3,12.0,0,0,
Vyshak Vijaykumar,PBKS,4,5,5,17,181,44/2,25.5,0,0,
Akash Madhwal,RR,4,4,4,15,166,29/3,22.5,0,0,
Ishant Sharma,GT,4,7,7,18.2,205,18/1,27.5,0,0,
Dushmantha Chameera,DC,4,6,5,15,171,24/1,22.5,0,0,
Yudhvir Singh Charak,RR,4,4,4,11,131,47/3,16.5,0,0,
Riyan Parag,RR,3,14,9,20,170,1/12,40.0,0,0,
Prince Yadav,LSG,3,6,6,22.5,225,29/1,45.7,0,0,
Akash Deep,LSG,3,6,6,19,229,55/2,38.0,0,0,
Ayush Badoni,LSG,2,14,2,1.4,13,2/4,5.0,0,0,
Liam Livingstone,RCB,2,10,5,9,76,28/2,27.0,0,0,
Kamindu Mendis,SRH,2,5,4,7,60,1/4,21.0,0,0,
Nitish Kumar Reddy,SRH,2,13,3,5,47,13/1,15.0,0,0,
M Siddharth,LSG,2,2,2,7,67,39/2,21.0,0,0,
Xavier Bartlett,PBKS,2,4,4,10,96,26/1,30.0,0,0,
Kumar Kartikeya Singh,RR,2,4,4,8,78,21/1,24.0,0,0,
Washington Sundar,GT,2,6,5,10.5,111,28/1,32.5,0,0,
Mohit Sharma,DC,2,8,8,25,257,1/10,75.0,0,0,
Gerald Coetzee,GT,2,4,4,12,131,1/10,36.0,0,0,
Kagiso Rabada,GT,2,4,4,14,162,41/1,42.0,0,0,
Adam Zampa,SRH,2,2,2,8,94,46/1,24.0,0,0,
Mayank Yadav,LSG,2,2,2,8,100,40/2,24.0,0,0,
Simarjeet Singh,SRH,2,4,4,10,141,46/2,30.0,0,0,
Nuwan Thushara,RCB,1,1,1,4,26,26/1,24.0,0,0,
Anukul Roy,KKR,1,1,1,4,27,27/1,24.0,0,0,
Corbin Bosch,MI,1,2,2,7,55,26/1,42.0,0,0,
Nathan Ellis,CSK,1,1,1,4,38,38/1,24.0,0,0,
Kulwant Khejroliya,GT,1,1,1,3,29,29/1,18.0,0,0,
Pravin Dubey,PBKS,1,1,1,2,20,20/1,12.0,0,0,
Kwena Maphaka,RR,1,2,2,5,54,32/1,30.0,0,0,
Sam Curran,CSK,1,5,5,12,133,34/1,72.0,0,0,
Richard Gleeson,MI,1,1,1,3.3,39,39/1,21.0,0,0,
Rasikh Dar,RCB,1,2,2,6,70,35/1,36.0,0,0,
Spencer Johnson,KKR,1,4,4,11.2,133,42/1,68.0,0,0,
Mukesh Choudhary,CSK,1,2,2,6,71,21/1,36.0,0,0,
Anrich Nortje,KKR,1,2,2,7,83,23/1,42.0,0,0,
Shahbaz Ahmed,LSG,1,3,3,8.3,102,41/1,51.0,0,0,
Yash Thakur,PBKS,1,2,2,6.3,79,39/1,39.0,0,0,
Marcus Stoinis,PBKS,1,13,9,14.1,175,14/1,85.0,0,0,
Shahrukh Khan,GT,1,15,1,1,13,13/1,6.0,0,0,
V Satyanarayana Penmetsa,MI,1,2,2,4,53,40/1,24.0,0,0,
Musheer Khan,PBKS,1,1,1,2,27,27/1,12.0,0,0,
Mujeeb/ur/Rahman,MI,1,1,1,2,28,28/1,12.0,0,0,
